,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
0,1.0,0.4983388704318937,0.5,0.006622516556291391,0.02,0.04666666666666667,0.0,1.0,149.0,150.0
1,2.0,0.4866666666666667,0.3,0.02,0.02,0.04666666666666667,3.0,7.0,143.0,147.0
2,3.0,0.5233333333333333,0.6666666666666666,0.09333333333333334,0.1,0.04,14.0,7.0,143.0,136.0
3,4.0,0.53,0.7142857142857143,0.1,0.1,0.04,15.0,6.0,144.0,135.0
4,5.0,0.5133333333333333,0.527027027027027,0.26,0.29333333333333333,0.26666666666666666,39.0,35.0,115.0,111.0
5,6.0,0.5133333333333333,0.5238095238095238,0.29333333333333333,0.35333333333333333,0.2733333333333333,44.0,40.0,110.0,106.0
6,7.0,0.5133333333333333,0.527027027027027,0.26,0.3,0.28,39.0,35.0,115.0,111.0
7,8.0,0.5133333333333333,0.527027027027027,0.26,0.30666666666666664,0.28,39.0,35.0,115.0,111.0
8,9.0,0.5133333333333333,0.5227272727272727,0.30666666666666664,0.30666666666666664,0.28,46.0,42.0,108.0,104.0
9,10.0,0.5333333333333333,0.5480769230769231,0.38,0.38666666666666666,0.3333333333333333,57.0,47.0,103.0,93.0
10,11.0,0.5266666666666666,0.5370370370370371,0.38666666666666666,0.38666666666666666,0.3333333333333333,58.0,50.0,100.0,92.0
11,12.0,0.5366666666666666,0.544,0.4533333333333333,0.4666666666666667,0.4,68.0,57.0,93.0,82.0
12,13.0,0.5266666666666666,0.55,0.29333333333333333,0.3333333333333333,0.28,44.0,36.0,114.0,106.0
13,14.0,0.5266666666666666,0.55,0.29333333333333333,0.3333333333333333,0.2866666666666667,44.0,36.0,114.0,106.0
14,15.0,0.57,0.591304347826087,0.4533333333333333,0.4866666666666667,0.3333333333333333,68.0,47.0,103.0,82.0
15,16.0,0.5366666666666666,0.544,0.4533333333333333,0.4533333333333333,0.4,68.0,57.0,93.0,82.0
16,17.0,0.5366666666666666,0.5462184873949579,0.43333333333333335,0.4533333333333333,0.38666666666666666,65.0,54.0,96.0,85.0
17,18.0,0.5433333333333333,0.5656565656565656,0.37333333333333335,0.38666666666666666,0.31333333333333335,56.0,43.0,107.0,94.0
18,19.0,0.57,0.591304347826087,0.4533333333333333,0.4866666666666667,0.3333333333333333,68.0,47.0,103.0,82.0
19,20.0,0.5766666666666667,0.5934959349593496,0.4866666666666667,0.4866666666666667,0.3333333333333333,73.0,50.0,100.0,77.0
20,21.0,0.48333333333333334,0.4691358024691358,0.25333333333333335,0.2866666666666667,0.28,38.0,43.0,107.0,112.0
21,22.0,0.5033333333333333,0.5058823529411764,0.2866666666666667,0.2866666666666667,0.28,43.0,42.0,108.0,107.0
22,23.0,0.54,0.6071428571428571,0.22666666666666666,0.23333333333333334,0.18,34.0,22.0,128.0,116.0
23,24.0,0.5166666666666667,0.5362318840579711,0.24666666666666667,0.26666666666666666,0.25333333333333335,37.0,32.0,118.0,113.0
